Episode  12000/20000 | Avg Reward:   -1.86 | Max F: 0.1076 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  12100/20000 | Avg Reward:   -1.79 | Max F: 0.1596 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  12200/20000 | Avg Reward:   -1.89 | Max F: 0.0818 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  12300/20000 | Avg Reward:   -1.90 | Max F: 0.1618 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  12400/20000 | Avg Reward:   -1.92 | Max F: 0.0650 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  12500/20000 | Avg Reward:   -1.94 | Max F: 0.0842 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  12600/20000 | Avg Reward:   -1.85 | Max F: 0.3814 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  12700/20000 | Avg Reward:   -1.86 | Max F: 0.1618 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  12800/20000 | Avg Reward:   -1.91 | Max F: 0.0280 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  12900/20000 | Avg Reward:   -1.86 | Max F: 0.0137 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  13000/20000 | Avg Reward:   -1.92 | Max F: 0.1596 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  13100/20000 | Avg Reward:   -1.86 | Max F: 0.1095 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  13200/20000 | Avg Reward:   -1.89 | Max F: 0.0320 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  13300/20000 | Avg Reward:   -1.90 | Max F: 0.1567 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  13400/20000 | Avg Reward:   -1.87 | Max F: 0.1434 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  13500/20000 | Avg Reward:   -1.89 | Max F: 0.0673 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100
Episode  13600/20000 | Avg Reward:   -1.82 | Max F: 0.1618 | Depth:  20 | LR: 1.00e-04 | Eps: 0.100

Stopping: average reward has not improved for 5000 episodes.
